Zipcode,CountTaxReturns2016,CountDependents2016,AdjGrossIncome2016,TotalIncome2016,CapGains2016,TaxesPaid2016
19035,2020,1150,1933467,1951274,249193,100205
19036,6720,3550,329918,332931,1552,18066
19038,15360,9020,1384186,1405948,78510,102049
19040,11480,5890,766842,776120,12034,45192
19041,2950,1270,1135026,1151411,272567,104862
19043,1450,820,76909,77528,264,5394
19044,8790,4630,628219,636146,10349,33590
19046,9550,4880,1376282,1399967,242864,96205
19047,17860,8450,1534381,1556979,55164,101547
19050,14740,9150,706528,713465,5867,45609
19053,14330,7450,1015532,1029768,23461,64951
19054,8930,5050,481829,486348,2003,21389
19055,6910,3910,341314,344073,1847,19057
19056,8000,4360,472204,477441,5416,25947
19057,8700,4790,431971,435390,2265,22614
19060,5530,3800,697698,707785,24605,56969
19061,9870,5620,513270,518163,4871,31392
19063,18620,8950,2191298,2234086,133821,146642
19064,12560,7510,1047933,1061240,28719,80572
19066,2460,1910,695432,711409,144569,48330
19067,26730,15410,2912939,2960193,171903,193787
19070,3760,2040,233946,236537,2631,16353
19072,4900,2920,951046,972689,87685,70941
19073,9930,4890,1922913,1956508,299734,120870
19074,2940,1590,161641,163042,760,9758
19075,3750,2280,326131,331300,6262,23882
19076,3310,1770,171617,173355,895,9533
19078,6000,2970,368134,371196,3057,24223
19079,4470,3370,163170,164337,243,7882
19081,4460,2710,517687,527933,23665,44625
19082,19010,14670,663991,671369,3707,27920
19083,18360,11540,1549791,1574253,36218,116916
19085,2820,2030,1446655,1469424,312873,96913
19086,5730,3660,652857,664072,26818,55589
19087,15660,9290,3483611,3539268,749366,208276
19090,10100,5530,593424,599739,9338,35127
19094,2100,1210,107859,108674,560,7014
19095,3280,1710,282621,287486,8344,23242
19096,6630,4250,1319909,1350239,123165,98530
19102,2790,260,393393,399392,22041,24478
19103,13730,1770,2565028,2607037,474585,174995
19104,13510,6890,498873,505924,10705,17502
19106,6890,940,1215057,1234060,147291,80103
19107,6530,1120,498166,506286,20849,26905
19111,29060,20200,1263688,1275866,12055,60984
19114,15490,7740,826443,834101,8827,41877
19115,15740,8530,870259,878965,14092,48823
19116,14820,8320,792949,801545,11049,43570
19118,4650,1920,875822,892590,101440,65934
19119,12840,6660,1037133,1053773,79722,67838
19120,28740,24740,876020,883163,1353,28823
19121,11910,9600,303658,306359,617,6499
19122,6900,4580,243827,246766,3144,8470
19123,7480,2660,561515,570851,17825,29823
19124,26850,25490,786834,793216,3000,23721
19125,11370,4830,595946,604788,7038,28951
19126,7240,4790,290004,292111,888,13634
19127,3030,490,176114,178806,2248,8021
19128,18480,6310,1211125,1226401,25125,67928
19129,5120,2250,360132,365848,6515,21571
19130,13880,3320,1221468,1241990,45571,76129
19131,17180,11000,649012,654229,4000,23101
19132,13740,11960,350448,352757,270,6065
19133,8270,8620,185097,186575,32,2477
19134,21130,19440,612593,618645,2106,16466
19135,14080,11180,501793,505837,1704,18312
19136,15380,10060,681760,687059,3233,29420
19137,3780,2490,172008,173391,540,7424
19138,14660,11010,488632,491832,769,18667
19139,17160,13140,482045,486065,2020,11881
19140,19470,18390,476494,480055,349,8778
19141,13030,9690,410249,413157,507,12754
19142,12780,12070,350562,353578,332,9085
19143,28310,20040,950555,960455,10990,32094
19144,17740,12100,673944,682118,5821,25471
19145,21750,13300,957462,967389,19733,45743
19146,19250,8410,1419377,1440426,56686,87217
19147,19370,6660,1727889,1758431,70588,108981
19148,23520,13470,1064030,1076271,12874,47550
19149,23800,19690,841400,849388,3664,30320
19150,12070,6550,512822,516052,1428,24834
19151,14600,10510,581556,586852,2754,29788
19152,15200,9280,678003,684892,6453,32967
19153,5840,3890,245062,246770,730,10228
19154,16180,9640,900312,907133,5838,51087
19301,3610,1920,512572,520820,77129,29021
19310,1350,1080,81983,83087,2062,4987
19311,4140,3960,430876,436330,8806,30584
19312,5700,3910,1395306,1422210,231333,87405
19317,5170,3190,937049,953907,78538,66125
19319,170,90,17393,17690,26,1101
19320,25020,16260,1766095,1783221,60045,103024
19330,2670,1730,192457,196674,6783,13278
19333,3730,2270,740691,752963,94609,42510
19335,24380,15830,2477820,2511988,92217,164874
19341,9180,5350,949128,961321,36808,53228
19342,9470,4920,1110424,1128643,57323,75264
19343,4010,2580,507242,516019,23575,33911
19344,5880,3870,354070,358418,12428,18144
19348,10950,7660,1289362,1306629,85663,85818
19350,5210,3540,714631,725097,32717,55128
19352,4120,3310,385987,390732,5788,28799
19355,12660,7840,2430210,2467879,441953,142224
19362,2650,1760,155333,157065,2786,7386
19363,7800,6460,493558,499298,13229,29647
19365,3530,2440,200503,203321,3190,12511
19372,1320,710,84707,85656,335,4616
19373,1340,930,184444,188197,4641,13308
19374,620,710,25364,25515,232,770
19380,25980,13450,2724558,2764544,148420,161305
19382,24550,13800,3023873,3073672,180006,190864
19390,6650,4760,538216,545001,23710,31801
19401,19000,14940,831835,840368,8075,40712
19403,23320,10710,1951986,1974775,82899,115787
19405,2720,1640,128452,129618,1362,4547
19406,12300,6130,1089178,1100695,47918,45981
19422,9980,5260,1457030,1486127,106582,90555
19425,6690,5520,1272315,1291846,59427,88656
19426,17610,12250,1979149,2003204,89235,139241
19428,10710,3490,910709,924343,47088,41856
19435,280,40,17052,17088,1186,636
19436,330,0,53482,53672,5576,2120
19438,11760,6950,1106311,1123096,30284,73697
19440,9760,5250,646723,654983,12899,35073
19444,5590,3010,829004,844198,85386,52420
19446,28900,15680,2433753,2467604,83820,137320
19453,750,270,40169,40652,181,1578
19454,14610,8000,1435362,1456008,85173,84993
19460,20130,11340,2110069,2140167,120014,133842
19462,8070,4340,802047,815202,33844,45481
19464,23180,13460,1253406,1266287,16488,71502
19465,8660,4990,734505,745416,17432,48581
19468,13700,8040,1064442,1076899,18647,61807
19473,7150,4830,688609,696980,15957,48131
19475,5300,3280,417258,422668,13364,26377
19477,160,50,33481,34484,3855,2155
19492,310,170,17648,17856,36,1047
19503,630,260,34297,34638,426,1658
19504,2570,1400,178965,181825,2861,10897
19505,1720,700,99030,100168,3010,4767
19506,3720,2050,241112,245392,11810,13983
19507,1640,1010,89372,90985,2678,3924
19508,7620,4230,466020,472069,7761,26070
19510,3890,2440,246922,249480,2313,15304
19512,8660,3910,545116,551930,12061,27794
19518,7490,4700,597054,603697,39403,46534
19520,2960,1370,351003,354692,12398,16355
19522,7310,3610,494746,501094,17895,27603
19525,7320,5130,601104,607678,8796,38274
19526,5750,2530,295792,299684,5272,11749
19529,1480,690,100363,101956,3587,5202
19530,5250,2310,331460,336140,9960,16542
19533,3230,1740,217992,221142,4078,11992
19534,1010,500,62788,63749,1831,3093
19539,2340,1090,150407,152207,1957,8290
19540,6020,3060,458220,466644,22032,27661
19541,2220,1130,149479,151143,2472,8083
19543,2870,2110,221670,225219,4074,15066
19547,2260,1120,186989,189743,14260,8893
19551,2560,1310,163725,166219,6786,8693
19555,1900,830,97733,98906,1611,3831
19560,4560,2530,219268,221502,1374,9732
19562,1280,520,67453,67985,865,2837
19565,4430,2060,270819,273982,5222,16041
19567,2710,1450,139396,141264,2498,5699
19601,14070,12310,383100,386089,3329,10105
19602,7050,6610,170294,171610,861,3502
19604,11760,11680,335826,337982,2479,9685
19605,10720,5510,558856,564753,10298,28390
19606,17260,9620,1056462,1069114,20200,59289
19607,11830,5210,829599,837765,16987,39226
19608,11610,7230,938700,951664,33215,59984
19609,5470,2870,293022,296231,3398,13299
19610,8110,3530,945614,961236,91965,55462
19611,4770,3250,182005,184095,1609,7253
19701,20910,12810,1434208,1447166,15405,69344
19702,26420,17560,1564054,1577830,14384,66621
19703,7440,4400,369538,372543,2270,13008
19707,8300,4980,1058171,1073330,48027,70515
19709,19430,14210,1509788,1525202,24818,82172
19711,22250,10970,1785082,1804317,46573,95195
19713,15680,8960,800291,806517,8182,27112
19720,29050,19630,1341493,1351612,11092,46948
19734,5550,3920,382471,386085,4586,18963
19736,130,60,20745,20858,410,1159
19801,6440,4860,334337,338464,20655,12177
19802,11560,8150,471547,475921,3860,18834
19803,11020,5740,1277358,1298851,64092,81494
19804,9200,5430,415981,418930,4425,12582
19805,18650,14560,796973,804348,25125,27700
19806,5060,1240,581792,594484,34137,38802
19807,4080,1990,1280429,1300249,157851,100791
19808,20130,10560,1405638,1420781,45618,64635
19809,7430,3810,542340,547587,12368,26340
19810,12800,6490,1083938,1097730,31588,60087
19901,15390,9810,726874,734387,11840,20361
19904,16070,9600,820031,828213,13451,25062
19930,1340,180,159387,162853,15720,8376
19931,130,70,8778,8836,396,281
19933,4300,2950,202181,204982,2713,5887
19934,6280,3840,412326,417858,8537,15891
19938,4110,2780,234377,236074,2066,8572
19939,3250,1450,213418,216113,8986,7402
19940,2570,1760,119255,120584,791,3640
19941,1210,810,45605,45946,126,992
19943,5710,3370,282146,284694,2157,7496
19944,270,40,25115,25578,2266,1396
19945,3640,1970,168146,170880,3850,4599
19946,2130,1400,99767,100467,678,2372
19947,8320,6080,355375,359601,4636,8153
19950,3150,2030,148404,150795,1586,3656
19951,910,360,53601,54263,991,1942
19952,4860,2970,216026,218225,2086,4752
19953,1990,1260,96614,97556,422,2466
19954,770,410,33854,34211,37,759
19956,7180,4800,312623,316292,6827,7594
19958,12360,3840,1044971,1062320,66287,46002
19960,3190,2320,129634,131019,1508,2967
19962,5490,4110,308830,311501,2974,10212
19963,9450,5520,476703,482869,8959,14208
19964,580,380,27467,27688,59,681
19966,13140,6260,660752,668396,12849,19954
19967,580,150,43161,43628,797,2024
19968,5910,2710,382811,388467,13362,14229
19970,3680,1070,267166,271450,9881,11868
19971,7290,1910,663521,676567,45455,33612
19973,11500,7410,551794,558448,8683,16792
19975,4450,1780,275331,278872,10203,10717
19977,11060,7130,612906,618437,8239,22205
19979,390,200,18284,18396,37,409
20001,26290,6370,2167715,2199776,68121,124674
20002,33690,12820,2501534,2534382,60867,142530
20003,15440,4580,1733590,1763947,56564,120377
20004,1000,100,155581,158713,4438,11142
20005,7950,940,900861,915100,37249,56282
20006,590,140,89144,91380,15002,4543
20007,12680,3560,3062484,3131069,658911,286427
