,0
Zipcode[T.60563],76513.95262826962
Zipcode[T.60564],97492.76089418528
Zipcode[T.60565],-3423.487188544948
Zipcode[T.60585],91832.15208024326
Zipcode[T.60586],-20121.14756748413
Zipcode[T.60601],-26951.934402486204
Zipcode[T.60606],-46244.06529215836
Zipcode[T.60607],-61065.12865953893
Zipcode[T.60608],9916.492555232131
Zipcode[T.60610],5450.5267143448045
Zipcode[T.60613],114120.7479056508
Zipcode[T.60614],208532.57573672812
Zipcode[T.60615],-46821.745184732514
Zipcode[T.60616],837.1984286914372
Zipcode[T.60617],5760.338106871885
Zipcode[T.60631],-2150.4093378333678
Zipcode[T.60632],-61337.1332737773
Zipcode[T.60633],-93094.39289726323
Zipcode[T.60634],79364.63785921186
Zipcode[T.60636],-57746.938166606895
Zipcode[T.60638],36958.35496615619
Zipcode[T.60639],275306.7227520793
Zipcode[T.60642],-23618.649182847803
Zipcode[T.60643],41799.4813873152
Zipcode[T.60644],17474.779126150373
Zipcode[T.60652],307752.54880307434
Zipcode[T.60653],1655.2657731916422
Zipcode[T.60654],145980.16972800807
Zipcode[T.60655],47405.49620253838
Zipcode[T.60656],93951.52150020341
Zipcode[T.60657],123982.5038497927
Zipcode[T.60659],-18995.898543592048
Zipcode[T.60660],29400.16707601815
Zipcode[T.60661],-26350.880878739797
Zipcode[T.60706],-13849.088719389401
Zipcode[T.60707],-21418.04663207195
Zipcode[T.60714],22296.957073835118
Zipcode[T.60901],-94101.62705771081
Zipcode[T.60911],-149511.23125950038
Zipcode[T.60912],-91731.96318924711
Zipcode[T.60915],-65109.47793605366
Zipcode[T.60917],-30242.737710442423
Zipcode[T.60921],-135204.3528382248
Zipcode[T.60922],-126470.60913925753
Zipcode[T.60924],-186723.1295005842
Zipcode[T.60927],28508.869805523816
Zipcode[T.60928],-85549.27670568497
Zipcode[T.60929],-78268.88620728852
Zipcode[T.60930],-50166.1986167569
Zipcode[T.60931],-121008.60296252566
Zipcode[T.60936],-33218.00592419968
Zipcode[T.60938],-146550.26472922458
Zipcode[T.60940],-148220.04206457036
Zipcode[T.60941],-42612.066545465335
Zipcode[T.60942],-119049.44221540006
Zipcode[T.60946],5319.815528613616
Zipcode[T.60948],99416.44875060143
Zipcode[T.60950],-85974.5458239288
Zipcode[T.60951],-72055.87343542984
