Date,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close
1/6/2016,71.353424,37.9408,25.918558,78.471123,41.85
1/7/2016,70.211334,36.10302,25.174362,75.690392,39.94
1/8/2016,68.792915,34.076302,24.729555,74.878967,41.08
1/11/2016,67.871864,34.187946,24.66968,73.639038,39.97
1/12/2016,69.26265,33.9389,24.507149,74.897202,37.65
1/13/2016,69.677116,32.97707,24.6098,74.149597,37.51
1/14/2016,72.873146,35.270004,26.37192,77.924088,37.16
1/15/2016,71.454742,33.466568,24.943403,76.283005,36.76
1/19/2016,70.367905,33.037178,24.73811,74.313721,35.62
1/20/2016,67.402138,31.740419,24.344627,72.007088,36.31
1/21/2016,68.249496,32.770958,25.200026,73.894325,37.35
1/22/2016,70.524475,34.677448,25.961327,76.164482,35.52
1/25/2016,68.138977,33.964661,25.20858,73.748451,34.95
1/26/2016,70.644211,35.364471,26.294933,76.693291,34.73
1/27/2016,69.345558,36.068665,26.24361,75.936554,34.74
1/28/2016,70.911324,37.348244,27.278639,78.334366,36.14
1/29/2016,71.703423,37.897869,27.689234,78.8358,37.5
2/1/2016,70.266586,37.40836,27.116117,77.759987,38.1
2/2/2016,68.700806,35.665039,24.823652,74.067551,36.81
2/3/2016,72.283684,36.99614,25.371103,77.149147,37.87
2/4/2016,73.527084,38.310074,26.183735,77.304131,36.6
2/5/2016,73.757355,38.404537,26.055424,75.562759,37.04
2/8/2016,74.752075,38.23278,25.593508,78.398186,36.76
2/9/2016,74.426796,36.601105,24.763775,75.599213,35.97
2/10/2016,73.748322,36.35207,24.492987,75.708641,33.97
2/11/2016,73.980682,36.601105,24.143585,75.66304,33.27
2/12/2016,75.309731,38.018089,25.34902,77.887627,33.16
2/16/2016,75.486305,38.962742,25.383957,78.303108,31.41
2/17/2016,76.211243,40.523708,26.161375,81.534569,30.44
2/18/2016,76.629463,40.094009,26.012878,80.075798,30.48
2/19/2016,76.675941,39.725689,25.986673,79.863449,31.2
2/22/2016,76.573723,40.611412,26.467096,82.005455,29.42
2/23/2016,75.495605,38.89259,25.331545,78.395416,29.75
2/24/2016,75.765137,38.910126,24.929739,78.727806,30.02
2/25/2016,76.220543,39.725689,25.034557,78.755516,28.46
2/26/2016,75.978897,40.094009,25.331545,77.878403,26.55
2/29/2016,74.491852,40.085239,25.410162,77.038223,29.53
3/1/2016,75.542068,40.813107,25.881849,79.521828,32.19
3/2/2016,76.861824,41.48835,26.388483,80.454346,30.34
3/3/2016,76.583015,41.979439,26.964996,80.814415,31.45
3/4/2016,76.480774,42.303909,27.209576,81.183723,32.3
3/7/2016,78.497581,42.575764,27.515303,83.713509,33.22
