Competitor,Date,Adj Close
Petróleo Brasileiro S.A. - Petrobras,6/16/2015,52.90
Shell,6/16/2015,48.13
BP,6/17/2015,34.11
Petróleo Brasileiro S.A. - Petrobras,6/17/2015,52.90
Shell,6/17/2015,48.15
BP,6/18/2015,34.15
Petróleo Brasileiro S.A. - Petrobras,6/18/2015,52.90
Shell,6/18/2015,48.43
BP,6/19/2015,34.06
Petróleo Brasileiro S.A. - Petrobras,6/19/2015,52.90
Shell,6/19/2015,48.34
BP,6/22/2015,34.37
Petróleo Brasileiro S.A. - Petrobras,6/22/2015,52.90
Shell,6/22/2015,48.81
BP,6/23/2015,34.39
Petróleo Brasileiro S.A. - Petrobras,6/23/2015,52.90
Shell,6/23/2015,48.72
BP,6/24/2015,34.63
Petróleo Brasileiro S.A. - Petrobras,6/24/2015,52.90
Shell,6/24/2015,49.15
BP,6/25/2015,34.68
Petróleo Brasileiro S.A. - Petrobras,6/25/2015,52.90
Shell,6/25/2015,48.90
BP,6/26/2015,34.23
Petróleo Brasileiro S.A. - Petrobras,6/26/2015,52.90
Shell,6/26/2015,48.89
BP,6/29/2015,33.37
Petróleo Brasileiro S.A. - Petrobras,6/29/2015,52.90
Shell,6/29/2015,47.67
BP,6/30/2015,33.08
Petróleo Brasileiro S.A. - Petrobras,6/30/2015,52.90
Shell,6/30/2015,47.07
BP,7/1/2015,32.51
Petróleo Brasileiro S.A. - Petrobras,7/1/2015,52.90
Shell,7/1/2015,46.48
BP,7/2/2015,34.18
Petróleo Brasileiro S.A. - Petrobras,7/2/2015,52.90
Shell,7/2/2015,47.01
Petróleo Brasileiro S.A. - Petrobras,7/3/2015,52.90
BP,7/6/2015,33.04
Petróleo Brasileiro S.A. - Petrobras,7/6/2015,52.90
Shell,7/6/2015,46.23
BP,7/7/2015,32.87
Petróleo Brasileiro S.A. - Petrobras,7/7/2015,52.90
Shell,7/7/2015,46.10
BP,7/8/2015,32.41
Petróleo Brasileiro S.A. - Petrobras,7/8/2015,52.90
Shell,7/8/2015,45.52
BP,7/9/2015,32.39
Shell,7/9/2015,45.76
BP,7/10/2015,33.03
Petróleo Brasileiro S.A. - Petrobras,7/10/2015,51.00
Shell,7/10/2015,46.93
BP,7/13/2015,33.08
Petróleo Brasileiro S.A. - Petrobras,7/13/2015,51.00
Shell,7/13/2015,46.89
BP,7/14/2015,33.38
Petróleo Brasileiro S.A. - Petrobras,7/14/2015,51.00
Shell,7/14/2015,47.59
BP,7/15/2015,33.14
Petróleo Brasileiro S.A. - Petrobras,7/15/2015,51.00
Shell,7/15/2015,47.04
BP,7/16/2015,32.73
Petróleo Brasileiro S.A. - Petrobras,7/16/2015,51.00
Shell,7/16/2015,47.15
BP,7/17/2015,32.38
Petróleo Brasileiro S.A. - Petrobras,7/17/2015,51.00
Shell,7/17/2015,47.08
BP,7/20/2015,32.08
Petróleo Brasileiro S.A. - Petrobras,7/20/2015,51.00
Shell,7/20/2015,46.80
BP,7/21/2015,32.06
Petróleo Brasileiro S.A. - Petrobras,7/21/2015,51.00
Shell,7/21/2015,47.09
BP,7/22/2015,31.38
Petróleo Brasileiro S.A. - Petrobras,7/22/2015,51.00
Shell,7/22/2015,46.37
BP,7/23/2015,30.88
Petróleo Brasileiro S.A. - Petrobras,7/23/2015,51.00
Shell,7/23/2015,46.09
BP,7/24/2015,30.27
Petróleo Brasileiro S.A. - Petrobras,7/24/2015,51.00
Shell,7/24/2015,44.90
BP,7/27/2015,29.84
Petróleo Brasileiro S.A. - Petrobras,7/27/2015,51.00
Shell,7/27/2015,44.50
BP,7/28/2015,30.87
Petróleo Brasileiro S.A. - Petrobras,7/28/2015,51.00
Shell,7/28/2015,45.28
BP,7/29/2015,30.95
Petróleo Brasileiro S.A. - Petrobras,7/29/2015,48.00
Shell,7/29/2015,45.74
BP,7/30/2015,31.19
Petróleo Brasileiro S.A. - Petrobras,7/30/2015,48.00
Shell,7/30/2015,47.37
BP,7/31/2015,30.60
Petróleo Brasileiro S.A. - Petrobras,7/31/2015,48.00
Shell,7/31/2015,47.46
BP,8/3/2015,30.20
Petróleo Brasileiro S.A. - Petrobras,8/3/2015,48.00
Shell,8/3/2015,47.23
BP,8/4/2015,30.25
Petróleo Brasileiro S.A. - Petrobras,8/4/2015,48.00
Shell,8/4/2015,47.15
BP,8/5/2015,30.19
Petróleo Brasileiro S.A. - Petrobras,8/5/2015,48.00
Shell,8/5/2015,47.65
BP,8/6/2015,30.20
Petróleo Brasileiro S.A. - Petrobras,8/6/2015,48.00
Shell,8/6/2015,48.38
BP,8/7/2015,30.03
Petróleo Brasileiro S.A. - Petrobras,8/7/2015,48.00
Shell,8/7/2015,48.02
BP,8/10/2015,30.53
Petróleo Brasileiro S.A. - Petrobras,8/10/2015,48.00
Shell,8/10/2015,48.62
BP,8/11/2015,30.34
Petróleo Brasileiro S.A. - Petrobras,8/11/2015,48.00
Shell,8/11/2015,48.79
BP,8/12/2015,30.67
Petróleo Brasileiro S.A. - Petrobras,8/12/2015,48.00
Shell,8/12/2015,49.15
BP,8/13/2015,30.23
Petróleo Brasileiro S.A. - Petrobras,8/13/2015,48.00
Shell,8/13/2015,47.77
BP,8/14/2015,30.10
Petróleo Brasileiro S.A. - Petrobras,8/14/2015,48.00
Shell,8/14/2015,47.36
BP,8/17/2015,29.90
Shell,8/17/2015,47.07
BP,8/18/2015,29.67
Petróleo Brasileiro S.A. - Petrobras,8/18/2015,48.00
Shell,8/18/2015,46.77
BP,8/19/2015,29.17
Petróleo Brasileiro S.A. - Petrobras,8/19/2015,48.00
Shell,8/19/2015,45.79
BP,8/20/2015,28.93
Petróleo Brasileiro S.A. - Petrobras,8/20/2015,48.00
Shell,8/20/2015,45.47
BP,8/21/2015,27.92
Petróleo Brasileiro S.A. - Petrobras,8/21/2015,48.00
Shell,8/21/2015,44.00
BP,8/24/2015,26.25
Petróleo Brasileiro S.A. - Petrobras,8/24/2015,48.00
Shell,8/24/2015,41.72
BP,8/25/2015,25.85
Petróleo Brasileiro S.A. - Petrobras,8/25/2015,48.00
Shell,8/25/2015,41.65
BP,8/26/2015,26.17
Petróleo Brasileiro S.A. - Petrobras,8/26/2015,48.00
Shell,8/26/2015,41.52
BP,8/27/2015,27.80
Petróleo Brasileiro S.A. - Petrobras,8/27/2015,48.00
Shell,8/27/2015,43.58
BP,8/28/2015,27.99
Petróleo Brasileiro S.A. - Petrobras,8/28/2015,48.00
Shell,8/28/2015,44.13
BP,8/31/2015,28.23
Petróleo Brasileiro S.A. - Petrobras,8/31/2015,48.00
Shell,8/31/2015,44.40
BP,9/1/2015,27.05
Petróleo Brasileiro S.A. - Petrobras,9/1/2015,48.00
Shell,9/1/2015,42.40
BP,9/2/2015,27.10
Petróleo Brasileiro S.A. - Petrobras,9/2/2015,48.00
Shell,9/2/2015,42.77
BP,9/3/2015,27.28
Petróleo Brasileiro S.A. - Petrobras,9/3/2015,48.00
Shell,9/3/2015,42.62
BP,9/4/2015,25.84
Petróleo Brasileiro S.A. - Petrobras,9/4/2015,48.00
Shell,9/4/2015,41.54
Petróleo Brasileiro S.A. - Petrobras,9/7/2015,48.00
BP,9/8/2015,26.44
Petróleo Brasileiro S.A. - Petrobras,9/8/2015,48.00
Shell,9/8/2015,42.63
BP,9/9/2015,26.01
Petróleo Brasileiro S.A. - Petrobras,9/9/2015,48.00
Shell,9/9/2015,42.07
BP,9/10/2015,26.27
Petróleo Brasileiro S.A. - Petrobras,9/10/2015,48.00
Shell,9/10/2015,42.43
BP,9/11/2015,26.10
Petróleo Brasileiro S.A. - Petrobras,9/11/2015,48.00
Shell,9/11/2015,42.18
BP,9/14/2015,25.82
Petróleo Brasileiro S.A. - Petrobras,9/14/2015,48.00
Shell,9/14/2015,41.88
BP,9/15/2015,26.18
Petróleo Brasileiro S.A. - Petrobras,9/15/2015,48.00
Shell,9/15/2015,42.19
BP,9/16/2015,27.04
Petróleo Brasileiro S.A. - Petrobras,9/16/2015,48.00
Shell,9/16/2015,43.38
BP,9/17/2015,27.02
Petróleo Brasileiro S.A. - Petrobras,9/17/2015,48.00
Shell,9/17/2015,43.23
BP,9/18/2015,26.17
Petróleo Brasileiro S.A. - Petrobras,9/18/2015,48.00
Shell,9/18/2015,41.55
BP,9/21/2015,26.14
Petróleo Brasileiro S.A. - Petrobras,9/21/2015,48.00
Shell,9/21/2015,41.46
BP,9/22/2015,25.58
Petróleo Brasileiro S.A. - Petrobras,9/22/2015,48.00
Shell,9/22/2015,40.09
BP,9/23/2015,25.18
Petróleo Brasileiro S.A. - Petrobras,9/23/2015,48.00
Shell,9/23/2015,39.72
BP,9/24/2015,25.38
Petróleo Brasileiro S.A. - Petrobras,9/24/2015,48.00
Shell,9/24/2015,39.42
BP,9/25/2015,25.61
Petróleo Brasileiro S.A. - Petrobras,9/25/2015,48.00
Shell,9/25/2015,39.69
BP,9/28/2015,24.73
Petróleo Brasileiro S.A. - Petrobras,9/28/2015,48.00
Shell,9/28/2015,38.49
BP,9/29/2015,24.94
Petróleo Brasileiro S.A. - Petrobras,9/29/2015,48.00
Shell,9/29/2015,39.06
BP,9/30/2015,25.72
Petróleo Brasileiro S.A. - Petrobras,9/30/2015,48.00
Shell,9/30/2015,39.76
BP,10/1/2015,26.06
Petróleo Brasileiro S.A. - Petrobras,10/1/2015,48.00
Shell,10/1/2015,40.42
BP,10/2/2015,27.37
Petróleo Brasileiro S.A. - Petrobras,10/2/2015,48.00
Shell,10/2/2015,41.81
BP,10/5/2015,28.19
Petróleo Brasileiro S.A. - Petrobras,10/5/2015,48.00
Shell,10/5/2015,43.34
BP,10/6/2015,28.88
Petróleo Brasileiro S.A. - Petrobras,10/6/2015,48.00
Shell,10/6/2015,44.86
BP,10/7/2015,30.05
Petróleo Brasileiro S.A. - Petrobras,10/7/2015,48.00
Shell,10/7/2015,46.12
BP,10/8/2015,30.26
Petróleo Brasileiro S.A. - Petrobras,10/8/2015,48.00
Shell,10/8/2015,46.88
BP,10/9/2015,30.26
Petróleo Brasileiro S.A. - Petrobras,10/9/2015,48.00
Shell,10/9/2015,46.37
BP,10/12/2015,29.77
Shell,10/12/2015,46.21
BP,10/13/2015,29.23
Petróleo Brasileiro S.A. - Petrobras,10/13/2015,48.00
Shell,10/13/2015,45.42
BP,10/14/2015,29.73
Petróleo Brasileiro S.A. - Petrobras,10/14/2015,48.00
Shell,10/14/2015,46.40
BP,10/15/2015,30.03
Petróleo Brasileiro S.A. - Petrobras,10/15/2015,48.00
Shell,10/15/2015,46.93
BP,10/16/2015,30.18
Petróleo Brasileiro S.A. - Petrobras,10/16/2015,48.00
Shell,10/16/2015,47.28
BP,10/19/2015,29.41
Petróleo Brasileiro S.A. - Petrobras,10/19/2015,48.00
Shell,10/19/2015,46.00
BP,10/20/2015,29.43
Petróleo Brasileiro S.A. - Petrobras,10/20/2015,48.00
Shell,10/20/2015,46.05
BP,10/21/2015,29.57
Petróleo Brasileiro S.A. - Petrobras,10/21/2015,48.00
Shell,10/21/2015,46.21
BP,10/22/2015,30.23
Petróleo Brasileiro S.A. - Petrobras,10/22/2015,48.00
Shell,10/22/2015,46.47
BP,10/23/2015,30.06
Petróleo Brasileiro S.A. - Petrobras,10/23/2015,48.00
Shell,10/23/2015,45.64
BP,10/26/2015,29.50
Petróleo Brasileiro S.A. - Petrobras,10/26/2015,48.00
Shell,10/26/2015,44.79
BP,10/27/2015,29.30
Petróleo Brasileiro S.A. - Petrobras,10/27/2015,48.00
Shell,10/27/2015,44.02
BP,10/28/2015,30.08
Petróleo Brasileiro S.A. - Petrobras,10/28/2015,48.00
Shell,10/28/2015,44.49
BP,10/29/2015,30.05
Petróleo Brasileiro S.A. - Petrobras,10/29/2015,48.00
Shell,10/29/2015,44.10
BP,10/30/2015,30.05
Petróleo Brasileiro S.A. - Petrobras,10/30/2015,48.00
Shell,10/30/2015,44.02
BP,11/2/2015,30.53
Petróleo Brasileiro S.A. - Petrobras,11/2/2015,48.00
Shell,11/2/2015,45.04
BP,11/3/2015,31.33
Petróleo Brasileiro S.A. - Petrobras,11/3/2015,48.00
Shell,11/3/2015,45.95
BP,11/4/2015,31.10
Petróleo Brasileiro S.A. - Petrobras,11/4/2015,48.00
Shell,11/4/2015,45.66
BP,11/5/2015,30.41
Petróleo Brasileiro S.A. - Petrobras,11/5/2015,48.00
Shell,11/5/2015,44.23
BP,11/6/2015,30.05
Shell,11/6/2015,43.74
BP,11/9/2015,29.84
Petróleo Brasileiro S.A. - Petrobras,11/9/2015,48.00
Shell,11/9/2015,43.56
BP,11/10/2015,29.74
Petróleo Brasileiro S.A. - Petrobras,11/10/2015,48.00
Shell,11/10/2015,43.19
BP,11/11/2015,29.42
Petróleo Brasileiro S.A. - Petrobras,11/11/2015,48.00
Shell,11/11/2015,42.41
BP,11/12/2015,28.66
Petróleo Brasileiro S.A. - Petrobras,11/12/2015,48.00
Shell,11/12/2015,41.56
BP,11/13/2015,28.55
Petróleo Brasileiro S.A. - Petrobras,11/13/2015,48.00
Shell,11/13/2015,41.31
BP,11/16/2015,29.49
Petróleo Brasileiro S.A. - Petrobras,11/16/2015,48.00
Shell,11/16/2015,42.37
BP,11/17/2015,29.24
Petróleo Brasileiro S.A. - Petrobras,11/17/2015,48.00
Shell,11/17/2015,42.10
BP,11/18/2015,30.02
Petróleo Brasileiro S.A. - Petrobras,11/18/2015,48.00
Shell,11/18/2015,43.20
BP,11/19/2015,30.15
Petróleo Brasileiro S.A. - Petrobras,11/19/2015,48.00
Shell,11/19/2015,43.62
BP,11/20/2015,29.45
Petróleo Brasileiro S.A. - Petrobras,11/20/2015,48.00
Shell,11/20/2015,42.45
BP,11/23/2015,29.44
Shell,11/23/2015,42.07
BP,11/24/2015,29.93
