Date,Cost Per Thousand
1/24/2017,3.319672131
1/25/2017,2.445640474
1/26/2017,3.632354694
1/27/2017,2.752359165
1/28/2017,2.676254538
1/29/2017,2.645420167
1/30/2017,2.319750537
1/31/2017,2.39162028
2/1/2017,2.07372645
2/2/2017,2.709782661
2/3/2017,2.507322924
2/4/2017,1.824218565
2/5/2017,2.033405036
2/6/2017,2.383715213
2/7/2017,3.3034557
2/8/2017,2.711323764
2/9/2017,6.517589477
2/10/2017,3.775012201
2/11/2017,3.607155163
2/12/2017,3.286308792
2/13/2017,3.355258067
2/14/2017,3.731606828
2/15/2017,3.619470528
2/16/2017,3.565606832
2/17/2017,3.343996129
2/18/2017,3.483469228
2/19/2017,3.403762899
2/20/2017,3.301642178
2/21/2017,2.955714087
2/22/2017,2.57738936
2/23/2017,3.568071246
2/24/2017,3.082118472
2/25/2017,3.110682779
2/26/2017,2.822246896
2/27/2017,3.43549883
3/1/2017,1.360685916
3/2/2017,1.848024689
3/3/2017,2.46622683
3/4/2017,2.883961774
3/5/2017,2.414960206
3/6/2017,1.517730635
3/7/2017,1.843003413
3/8/2017,2.083674472
3/9/2017,2.015802101
3/10/2017,2.17768405
3/11/2017,1.786794541
3/12/2017,1.853956743
3/13/2017,2.009151292
3/14/2017,2.889459592
3/15/2017,2.293659506
3/16/2017,2.26814974
3/17/2017,2.091615239
3/18/2017,3.086864469
3/19/2017,2.296464083
3/20/2017,2.762162991
3/21/2017,2.540966817
3/22/2017,2.884706277
3/23/2017,3.325973419
3/24/2017,3.854438952
3/25/2017,3.638545523
3/26/2017,3.63110959
3/27/2017,3.698924395
3/28/2017,3.758731791
3/29/2017,3.976463636
3/30/2017,3.841575307
3/31/2017,4.176644263
4/1/2017,4.216336102
4/2/2017,3.963968569
4/3/2017,3.732272837
4/4/2017,3.950621543
4/5/2017,3.983948478
4/6/2017,3.645484216
4/7/2017,3.896685951
4/8/2017,3.56975929
4/9/2017,3.61580811
4/10/2017,3.287329008
4/11/2017,3.271455056
4/12/2017,3.42589404
4/13/2017,3.260427914
4/14/2017,3.265255537
4/15/2017,3.304389698
4/16/2017,3.247019364
4/17/2017,3.24957071
4/18/2017,3.148234201
4/19/2017,3.11384079
4/20/2017,3.334987295
4/21/2017,3.134824899
4/22/2017,3.861352871
4/23/2017,3.279319385
4/24/2017,3.216299086
4/25/2017,3.288876752
4/26/2017,3.030067828
4/27/2017,3.182118612
4/28/2017,3.135243968
4/29/2017,3.412314194
4/30/2017,3.31253122
5/1/2017,3.538884564
5/2/2017,3.686758434
5/3/2017,3.425993515
5/4/2017,3.33965663
5/5/2017,3.826269775
5/6/2017,3.934474739
5/7/2017,3.870822381
5/8/2017,4.20414888
5/9/2017,3.813781679
5/10/2017,4.012310924
5/11/2017,4.111246331
5/12/2017,4.335978553
5/13/2017,3.641621338
5/14/2017,3.78473769
5/15/2017,3.982399531
5/16/2017,4.152121007
5/17/2017,4.142027662
5/18/2017,4.072979725
5/19/2017,3.639808756
5/20/2017,3.461672807
5/21/2017,3.655129184
5/22/2017,3.658039535
5/23/2017,3.780850259
5/24/2017,4.102548459
5/25/2017,4.600176111
5/26/2017,5.040840843
5/27/2017,4.777564898
5/28/2017,4.867260725
5/29/2017,4.900878095
5/30/2017,4.698766363
5/31/2017,5.077151553
6/1/2017,4.931291166
6/2/2017,4.447827337
6/3/2017,4.274876324
6/4/2017,4.343190402
6/5/2017,4.13872388
6/6/2017,6.071192893
6/7/2017,3.489153613
6/8/2017,2.960533508
6/9/2017,4.772155263
